name,SMILES,formula,exact_mass
"N-(3,5-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",c1c(cc(cc1Cl)N=C(C(C(C(F)(F)F)(F)F)(F)F)O)Cl,C10H4Cl2F7NO,356.9558166
"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C28H28F17N3O8S,889.1325656
"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C27H28F15N3O8S,839.1357592
"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C26H28F13N3O8S,789.1389527
"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C25H28F11N3O8S,739.1421463
"2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(nonafluorobutyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester",CCN(CCOC(=Nc1ccc(C)c(c1)N=C(O)OC(C)COC(=O)C(=C)C)O)S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C24H28F9N3O8S,689.1453398
(2-Carboxylatoethyl)dimethyl(((perfluorododecyl)-2-hydroxypropyl)amino)propylammonium,CCN(CCCNCC(CC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)CCC(=O)O,C23H23F25N2O3,850.1309481
"Bis(1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonyl)imide",C(C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(F)F,C8HF18NO4S2,580.9059575
"3,3,4,4,5,5,6,6,6-nonafluoro-1-nitrohex-1-ene",C(=CN(=O)=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H2F9NO2,290.9941823
"1,2,4-Trifluoro-3,5-bis(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-nitrobenzene",c1(c(c(c(c(c1F)F)N(=O)=O)C(C(F)(F)F)(C(F)(F)F)F)F)C(C(F)(F)F)(C(F)(F)F)F,C12F17NO2,512.965758
"1,4-Dichloro-2-(1,1,2,3,3,3-hexafluoropropoxy)-5-nitrobenzene",c1c(c(cc(c1N(=O)=O)Cl)OC(C(C(F)(F)F)F)(F)F)Cl,C9H3Cl2F6NO3,356.9394176
"1,2,4,5-Tetrafluoro-3-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-nitrobenzene",c1(c(c(c(c(c1F)F)N(=O)=O)F)F)C(C(F)(F)F)(C(F)(F)F)F,C9F11NO2,362.9753387
"1H,2H,2H-perfluorooctanal (2,4-dinitrophenyl)hydrazone",c1cc(c(cc1N(=O)=O)N(=O)=O)N=NCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C14H7F13N4O4,542.0259716
"2,2,3,3,4,4,5,5,5-Nonafluoropentyl 2,5,7-trinitro-9-oxo-9H-fluorene-4-carboxylate",c1c(cc(c2c1C(=O)c1cc(cc(c21)N(=O)=O)N(=O)=O)C(=O)OCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,C19H6F9N3O9,590.9960328
"1-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-3,5-dinitrobenzene",c1c(cc(cc1N(=O)=O)N(=O)=O)C(C(F)(F)F)(C(F)(F)F)F,C9H3F7N2O4,335.9981041
1-Nitro-3-(undecafluoropentyl)benzene,c1cc(cc(c1)N(=O)=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C11H4F11NO2,391.0066388
1-Nitro-3-(nonafluorobutyl)benzene,c1cc(cc(c1)N(=O)=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C10H4F9NO2,341.0098323
"Butanamide, N-(2-bromo-4-nitrophenyl)-2,2,3,3,4,4,4-heptafluoro-",c1cc(c(cc1N(=O)=O)Br)N=C(C(C(C(F)(F)F)(F)F)(F)F)O,C10H4BrF7N2O3,411.9293516
3-Nitrophenyl heptafluorobutanoate,c1cc(cc(c1)OC(=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,C10H4F7NO4,335.0028551
"2,2,3,3,4,4,4-Heptafluoro-1-(4-nitrophenyl)butan-1-one",c1cc(ccc1C(=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,C10H4F7NO3,319.0079405
"1-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-4-nitrobenzene",c1cc(ccc1C(C(F)(F)F)(C(F)(F)F)F)N(=O)=O,C9H4F7NO2,291.0130259
1-Nitro-4-(nonafluorobutyl)benzene,c1cc(ccc1C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,C10H4F9NO2,341.0098323
1-(Heptafluoropropyl)-4-nitrobenzene,c1cc(ccc1C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,C9H4F7NO2,291.0130259
"[N(E),S(S)]-N-(4-nitrophenyl)methyleneperfluorobutanesulfinamide",c1cc(ccc1C=NS(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,C11H5F9N2O3S,415.987717
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoro-N-(4-nitrophenyl)nonanamide",c1cc(ccc1NC(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,C15H5F17N2O3,584.0028718
"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoro-N-(4-nitrophenyl)heptanamide",c1cc(ccc1NC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,C13H5F13N2O3,484.0092589
"2,2,3,3,4,4,5,5,5-Nonafluoro-N-(4-nitrophenyl)pentanamide",c1cc(ccc1NC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,C11H5F9N2O3,384.015646
N-(4-Nitrophenyl)perfluorobutanamide,c1cc(ccc1NC(=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,C10H5F7N2O3,334.0188396
"N-(2,4-Dinitrophenyl)-2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanamide",c1cc(c(cc1N(=O)=O)N(=O)=O)N=C(C(C(F)(F)F)(F)OC(C(C(F)(F)F)(F)F)(F)F)O,C12H4F11N3O6,494.9924453
4-Nitrophenyl heptafluorobutanoate,c1cc(ccc1N(=O)=O)OC(=O)C(C(C(F)(F)F)(F)F)(F)F,C10H4F7NO4,335.0028551
"1-Nitro-4-[(2,2,3,3,4,4,5,5,6,6,6-undecafluorohexyl)oxy]benzene",c1cc(ccc1N(=O)=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C12H6F11NO3,421.0172035
"1-(2,2,3,3,4,4,4-Heptafluorobutoxy)-4-nitrobenzene",c1cc(ccc1N(=O)=O)OCC(C(C(F)(F)F)(F)F)(F)F,C10H6F7NO3,321.0235906
2-(Heptafluoropropyl)-6-nitro-1H-benzimidazole,c1cc2c(cc1N(=O)=O)[nH]c(C(C(C(F)(F)F)(F)F)(F)F)n2,C10H4F7N3O2,331.0191739
"3,3,4,4,5,5,6,6,6-Nonafluoro-1-nitrohex-1-en-2-amine",C(C(=N)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N(=O)=O,C6H3F9N2O2,306.0050813
"1,1,1,2,2,3,3-heptafluoro-5-nitro-4-(nitromethyl)pentane",C(C(CN(=O)=O)C(C(C(F)(F)F)(F)F)(F)F)N(=O)=O,C6H5F7N2O4,302.0137542
"3,3,4,4,5,5,6,6,6-Nonafluorohexyl nitrate",C(CON(=O)=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H4F9NO3,309.004747
"3-[2,2,3,3,4,4-Hexafluoro-4-(heptafluoropropoxy)butanamido]-N,N-dimethylpropan-1-amine N-oxide",CN(=O)(C)CCCN=C(C(C(C(F)(F)OC(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C12H13F13N2O3,480.0718591
"3-[(Perfluorobutane-1-sulfonyl)amino]-N,N-dimethylpropan-1-amine N-oxide",CN(=O)(C)CCCNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C9H13F9N2O3S,400.0503173
"1-Propanaminium, 3-[[4-[(heptadecafluorononyl)oxy]benzoyl]amino]-N,N,N-trimethyl- (9CI)",C[N+](C)(C)CCCN=C(c1ccc(cc1)OC(C(C(C(C(C(C(CC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C22H22F17N2O2,669.1404341
Perfluorononane sulfonamido ammonium iodide,C[N+](C)(C)CCCNS(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C15H16F19N2OS,633.0674467
"N-(2-Carboxyethyl)-3-[(perfluoro-1-oxononyl)amino]-N,N-dimethyl-1-propanaminium",C[N+](C)(CCCN=C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)CCC(=O)O,C17H18F17N2O3,621.1040486
"1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)butan-2-yl 2-methylprop-2-enoate",C=C(C)C(=O)OC(C(C(F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F,C9H5F11O2,354.0113898
"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propan-2-yl 2-methylprop-2-enoate",C=C(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C8H5F9O2,304.0145834
"1,1,1,2,3,3,3-Heptafluoropropan-2-yl 2-methylprop-2-enoate",C=C(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)F,C7H5F7O2,254.0177769
Pentadecafluoroheptyl 2-methylprop-2-enoate,C=C(C)C(=O)OC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C11H5F15O2,454.0050027
Undecafluoropentyl 2-methylprop-2-enoate,C=C(C)C(=O)OC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C9H5F11O2,354.0113898
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-Icosafluoroundecyl methacrylate",C=C(C)C(=O)OC(C(C(C(C(C(C(C(C(C(CF)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C15H8F20O2,600.0204939
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,21-Hentetracontafluorohenicosyl 2-methylprop-2-enoate",C=C(C)C(=O)OCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C25H7F41O2,1117.979136
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Henicosafluoroundecyl methacrylate",C=C(C)C(=O)OCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C15H7F21O2,618.0110721
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecyl 2-methylprop-2-enoate",C=C(C)C(=O)OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C14H7F19O2,568.0142656
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononyl methacrylate",C=C(C)C(=O)OCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C13H7F17O2,518.0174592
"1H,1H,9H-perfluorononyl methacrylate",C=C(C)C(=O)OCC(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C13H8F16O2,500.026881
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl methacrylate",C=C(C)C(=O)OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C12H7F15O2,468.0206528
(Perfluorohexyl)methyl methacrylate,C=C(C)C(=O)OCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C11H7F13O2,418.0238463
(6H-Perfluorohexyl)methyl methacrylate,C=C(C)C(=O)OCC(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C11H8F12O2,400.0332681
"2,2,3,3,4,4,5,5,6,6,6-Undecafluorohexyl 2-methylprop-2-enoate",C=C(C)C(=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C10H7F11O2,368.0270399
"2,2,3,3,4,4,5,5,5-Nonafluoropentyl methacrylate",C=C(C)C(=O)OCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C9H7F9O2,318.0302334
"1H,1H,5H-Perfluoropentyl methacrylate",C=C(C)C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,C9H8F8O2,300.0396553
"2,2,3,3,4,4,4-Heptafluorobutyl methacrylate",C=C(C)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F,C8H7F7O2,268.033427
"1H,1H,3H-Perfluorobutyl 2-methylacrylate",C=C(C)C(=O)OCC(C(C(F)(F)F)F)(F)F,C8H8F6O2,250.0428488
"4,4,5,5,6,7,7,7-Octafluoro-2-hydroxy-6-(trifluoromethyl)heptyl 2-methylprop-2-enoate",C=C(C)C(=O)OCC(CC(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)O,C12H11F11O3,412.0532546
3-(Perfluoro-5-methylhexyl)-2-hydroxypropyl methacrylate,C=C(C)C(=O)OCC(CC(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)O,C14H11F15O3,512.0468675
(Perfluoro-7-methyloctyl)-2-hydroxypropyl 2-methylprop-2-enoate,C=C(C)C(=O)OCC(CC(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C16H11F19O3,612.0404804
"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoro-2-hydroxyundecyl 2-methylprop-2-enoate",C=C(C)C(=O)OCC(CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C15H11F17O3,562.043674
"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-2-hydroxynonyl 2-methylprop-2-enoate",C=C(C)C(=O)OCC(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C13H11F13O3,462.0500611
"4,4,5,5,6,6,7,7,7-Nonafluoro-2-hydroxyheptyl 2-methylprop-2-enoate",C=C(C)C(=O)OCC(CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,C11H11F9O3,362.0564482
(Perfluorocyclohexyl)methyl methacrylate,C=C(C)C(=O)OCC1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,C11H7F11O2,380.0270399
2-(Perfluoro-3-methylbutyl)ethyl methacrylate,C=C(C)C(=O)OCCC(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F,C11H9F11O2,382.0426899
"3,3,4,4,5,5,6,6,7,7-Decafluorooctyl 2-methylprop-2-enoate",C=C(C)C(=O)OCCC(C(C(C(C(C)(F)F)(F)F)(F)F)(F)F)(F)F,C12H12F10O2,378.0677618
(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate,C=C(C)C(=O)OCCC(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F,C13H9F15O2,482.0363028
"3,3,4,4,5,5,6,6,7,7,8,8,9,10,10,10-Hexadecafluoro-9-(trifluoromethyl)decyl methacrylate",C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C15H9F19O2,582.0299157
(Perfluoro-9-methyldecyl)ethyl methacrylate,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C17H9F23O2,682.0235286
(Perfluoro-11-methyldodecyl)ethyl methacrylate,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C19H9F27O2,782.0171415
((Perfluoro-13-methyltetradecyl)ethyl) methacrylate,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C21H9F31O2,882.0107543
(Perfluoro-15-methylhexadecyl)ethyl methacrylate,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C23H9F35O2,982.0043672
"1,H,1H,2H,2H-perfluoroeicosyl methacrylate",C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C24H9F37O2,1032.001174
(Perfluorohexadecyl)ethyl 2-methyl-2-propenoate,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C22H9F33O2,932.0075608
"(Perfluorotetradecyl)ethyl 2-methyl-2-propenoate;2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-nonacosafluorohexadecyl ester;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16- nonacosafluorohexadecyl 2-methylprop-2-enoate",C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C20H9F29O2,832.0139479
"(Perfluorododecyl)ethyl methacrylate;2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl ester;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14- pentacosafluorotetradecyl 2-methylprop-2-enoate",C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C18H9F25O2,732.020335
"10:2 Fluorotelomer methacrylate;2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12- henicosafluorododecyl 2-methylprop-2-enoate",C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C16H9F21O2,632.0267221
"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluorodecyl 2-methylprop-2-enoate;8:2 Fluorotelomer methacrylate",C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C14H9F17O2,532.0331093
"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl ester;3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2- methylprop-2-enoate;6:2 Fluorotelomer methacrylate",C=C(C)C(=O)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C12H9F13O2,432.0394964
"1H,1H,2H,2H-Perfluorohexyl methacrylate",C=C(C)C(=O)OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C10H9F9O2,332.0458835
"3,3,4,4,5,5,5-Heptafluoropentyl 2-methylprop-2-enoate",C=C(C)C(=O)OCCC(C(C(F)(F)F)(F)F)(F)F,C9H9F7O2,282.0490771
"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoroundecyl 2-methylprop-2-enoate",C=C(C)C(=O)OCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C15H11F17O2,546.0487593
"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluorononyl 2-methylprop-2-enoate",C=C(C)C(=O)OCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C13H11F13O2,446.0551465
"4,4,5,5,6,6,7,7,7-Nonafluoroheptyl 2-methylprop-2-enoate",C=C(C)C(=O)OCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C11H11F9O2,346.0615336
2-[(2-Methylprop-2-enoyl)oxy]ethyl heptafluorobutanoate,C=C(C)C(=O)OCCOC(=O)C(C(C(F)(F)F)(F)F)(F)F,C10H9F7O4,326.0389063
S-((Perfluoro-5-methylhexyl)ethyl)-2-methylpropenethioate,C=C(C)C(=O)SCCC(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F,C13H9F15OS,498.0134592
S-((Perfluoro-7-(methyl)octyl)ethyl) thiomethacrylate,C=C(C)C(=O)SCCC(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C15H9F19OS,598.0070721
S-((Perfluoro-9-methyldecyl)ethyl) 2-methyl-2-propenethioate,C=C(C)C(=O)SCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C17H9F23OS,698.000685
"3-[(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)oxy]-2-methylprop-1-ene",C=C(C)COC(C(F)(F)F)(C(F)(F)F)F,C7H7F7O,240.0385124
N-[(4-Bromophenyl)(perfluorobutyl)-λ4-sulfanylidene]acetamide,CC(=O)N=S(c1ccc(cc1)Br)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C12H7BrF9NOS,462.9288009
